Id,Ticker,YoySuccess,Date,Eps,PbRatio,PeRatio,MarketCap,OneDay,SixMonths,CashFlowToSales,Roe,Roe1,Roe2,Roe3,Roe4,BvS,BvS1,BvS2,BvS3,BvS4,DivYield,DivYield1,DivYield2,DivYield3,DivYield4
1,HPR,2,,-274.65,-0.601,-0.04,46111398,0,0,0.515133,249.69,0,0,0,0,-18.09,257.45,321.85,389.38,515.98,0,0,0,0,0
2,NRZ,6,,1.726568087,0.732,6.26,4833767831,0,5,2.32013739,97.11,0,0,0,0,14.15,12.81,17.51,17.57,15.52,0.0907,0.0983,0.119,0.1148,0.1085
3,EPZM,6,,-2.45,-5.173,-0.426,107017600,0,-6,-3.93534938,57.43,0,0,0,0,-0.2,1.83,3.68,3.24,3.83,0,0,0,0,0
4,ACER,5,,-1.08,-16.722,-1.875,28821855,-4,-44,-17.09213333,42.68,0,0,0,0,-0.12,0.74,1.82,5.27,6.05,0,0,0,0,0
5,PBT,4,,0.23,416.328,14.546,159402087,-7,46,-1.1158329,36.64,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.1094,0.0974,0.0679,0.0473
6,CIO,9,,10.97,0.867,1.557,754255329,-2,-29,1.33047149,30.03,0,0,0,0,19.99,8.83,12.46,10.65,11.91,0.0444,0.0926,0.0801,0.0987,0.103
7,NVAX,6,,-23.44,-17.543,-3.538,6169247851,-3,-54,-0.68639914,24.4,0,0,0,0,-4.73,10.9,-7.72,-9.08,-6.95,0,0,0,0,0
8,DSS,4,,901.53,0.006,0,1263238,-2,1,-0.34561862,24.27,0,0,0,0,56.73,20.6,14.47,13.59,9.95,0,0,0,0,0
9,GSKY,,,,-27.634,6.603,777897148,2,2,2.48967471,23.95,0,0,0,0,-0.37,-0.09,0.42,0.45,0,0,0.1558,0.0406,0.2291,0
10,PRO,6,,-1.83,329.228,-14.53,1179952250,-7,-20,-0.08413778,22.49,0,0,0,0,0.08,2.7,4.1,1.59,-1.49,0,0,0,0,0
11,PTCT,8,,-7.264605593,1792.12,-4.919,2577069170,-1,34,-0.44105701,13.36,0,0,0,0,0.02,7.3,10.1,7.53,3.99,0,0,0,0,0
12,GALT,0,,-0.52,119.938,-3.509,107104410,-4,3,0,10.86,0,0,0,0,0.02,0.42,0.87,0.18,0.03,0.0016,0,0.0029,0,0
13,AHT,5,,-12.37,-58.177,-0.578,154402500,-12,6,0.00557906,9.47,0,0,0,0,-0.12,-180.01,269.2,465.13,664.34,0.1206,0.6221,0.3454,0.2048,0.1682
14,XOG,,,,-3.723,-3.037,3868172000,1,116,0.44948051,9.4,0,0,0,0,-7.52,1.61,10,9.4,9.4,0,0.0496,0.015,0.0042,0.0002
15,FTDR,,,,1003.485,23.519,3010455000,-1,-23,0.0970285,9.08,0,0,0,0,0.04,-0.72,-2.11,-4.06,0,0,0,0,0,0
16,EAF,3,,1.46,113.111,6.816,2647014879,-6,-29,0.3059453,8.23,0,0,0,0,0.09,-1.23,-2.39,-3.62,7.38,0.004,0.0119,0.0308,0.3947,0
17,MTD,8,,33.25,193.022,43.028,33087961487,-2,-6,0.21069306,7.77,0,0,0,0,7.41,11.84,17.13,23.4,21.28,0,0,0,0,0
18,TTOO,7,,-0.40584,-3.545,-0.929,45741962,-11,-71,-1.57421654,6.88,0,0,0,0,-0.11,0.07,-0.75,0.28,0.04,0,0,0,0,0
19,LIND,6,,-2.378119196,145.299,-6.482,772699099,-12,-41,0.10143829,6.64,0,0,0,0,0.11,2.39,2.6,2.56,2.39,0.0068,0,0,0,0
20,TPX,6,,3,28.021,12.824,8008308104,-3,-7,0.09234966,6.42,0,0,0,0,1.37,2.42,1.65,0.99,0.52,0.0079,0,0,0,0
21,XENT,8,,-4.8,-13.117,-5.675,905996560,0,4,-0.66883023,6.4,0,0,0,0,-2.08,2.05,3.76,3.99,4.03,0,0,0,0,0
22,SBR,4,,0,48.83,0,721385983,-1,53,-0.29636858,6.33,0,0,0,0,1.01,0.27,0.39,0.39,0.32,0,0,0.0779,0.0802,0.0513
23,ABC,9,,7.48,112.495,16.316,25126235680,1,8,0.01078359,5.94,0,0,0,0,1.08,-4.98,13.7,13.46,9.45,0.0146,0.0175,0.0188,0.0174,0.0191
24,MIC,5,,30.63000251,1.061,0.117,313025911,0,13,-0.63265259,5.87,0,0,0,0,3.39,10.18,32.51,34.78,37.9,13.604,0.036,0.0894,0.1032,0.0816
25,NOG,6,,0.096588826,7.102,240.193,1527870365,-3,36,0.37029704,5.31,0,0,0,0,3.27,-5.22,14.43,18.2,-78.65,0.0032,0,0,0,0
26,CL,6,,2.56,115.234,32.399,70177252620,1,6,0.17028249,4.6,0,0,0,0,0.72,0.87,0.14,-0.12,-0.07,0.0239,0.0247,0.027,0.0286,0.0232
27,IT,8,,9.33,65.902,30.815,24453477600,-2,9,0.22799834,4.32,0,0,0,0,4.36,12.21,10.45,9.37,11.12,0,0,0,0,0
28,BE,,,,-42.531,-11.464,1885231980,-4,46,-0.06544983,4.28,0,0,0,0,-0.32,0.57,-2.26,-1.72,-34.58,0,0,0,0,0
29,STX,5,,7.5,161.428,10.67,17595600000,-2,-26,0.14209759,3.98,0,0,0,0,0.5,2.61,6.82,7.67,5.78,0.0347,0.0305,0.0568,0.0529,0.0461
30,TAT,4,,-0.1,2.764,-3.904,20950920,0,0,0.46236236,3.97,0,0,0,0,0.14,0.25,0.68,0.88,1.44,0,0,0,0,0
31,ADMS,,,,-4.159,-3.621,207836970,0,-41,-0.53082584,3.6,0,0,0,0,-1.42,-0.03,3.34,2.93,6.09,0,0,0,0,0
32,NETE,8,,-1.002,27.343,-12.578,75169640,9,0,0.02718884,3.6,0,0,0,0,0.46,1.06,2.25,6.7,3.06,0,0,0,0,0
33,LCI,6,,-9.23,-6.653,-0.503,182776969,0,-26,0.10346698,3.51,0,0,0,0,-0.7,7.85,8.84,16.13,15.24,0,0,0,0,0
34,NSP,8,,3.220849341,-2262.362,32.346,4013430332,-1,28,0.05007342,3.42,0,0,0,0,-0.05,1.15,0.1,1.88,1.62,0.0359,0.0205,0.0136,0.0077,0.0264
35,TEN,7,,0.43,9.663,23.466,821326016,-1,91,-0.00321597,3.35,0,0,0,0,1.04,-1.46,17.61,29.45,13.18,0,0,0.0261,0.0291,0.0168
36,ALJJ,7,,-0.11,3.702,-10.028,46561900,1,-21,-0.11269687,3.35,0,0,0,0,0.3,0.4,2.15,2.42,2.72,0,0,0,0,0
37,AMRS,6,,-1.33494,3372.76,-3.049,828646599,-19,-31,-1.98694014,3.21,0,0,0,0,0,-0.84,-2.47,-3.52,-6.07,0,0,0,0,0
38,ALIM,8,,-0.8543,-8.84,-5.267,23029452,7,63,-0.28939066,3.15,0,0,0,0,-0.51,-1.56,-0.93,0.58,3.34,0,0,0,0,0
39,KMB,5,,5.476685477,92.128,26.105,47353599356,0,3,0.13847911,3.13,0,0,0,0,1.51,1.84,-0.1,-0.82,1.78,0.032,0.0322,0.0283,0.0369,0.0324
40,COR,9,,1.96,85.537,68.574,5438501401,0,0,0.44329133,3.02,0,0,0,0,1.57,4.3,6.94,8.32,13.49,0.0435,0.0517,0.0567,0.0489,0.0391
41,TCDA,,,,2278.786,-2.814,496775424,-1,44,0,2.97,0,0,0,0,0,2.18,5.55,8.78,0,0,0,0,0,0
42,SEE,6,,3.36,42.229,20.723,10502284065,-2,-17,0.12523814,2.88,0,0,0,0,1.6,1.11,-1.27,-2.19,0.81,0.011,0.0156,0.0181,0.0176,0.0142
43,CRT,3,,1.11,6.146,9.542,50159998,2,32,0.24870051,2.82,0,0,0,0,1.36,1.42,1.55,1.65,1.76,0.1048,0.1169,0.067,0.059,0.0949
44,INSG,4,,-0.463221131,-17.27,-8.959,429234844,-6,-37,-0.10076788,2.69,0,0,0,0,-0.24,-0.29,-0.48,-0.55,-0.78,0,0,0,0,0
45,PBPB,6,,-0.86,-64.279,-6.275,149256000,-2,16,0.0061122,2.41,0,0,0,0,-0.08,0.24,2.89,3.78,4.66,0,0,0,0,0
46,IDXG,7,,-3.61,-0.649,-1.843,27539100,-3,-70,-0.1186631,2.41,0,0,0,0,-10.26,4.33,3.48,11.7,25.29,0,0,0,0,0
47,DELL,,,,-22.722,6.882,38286239330,-3,-17,0.0654601,2.39,0,0,0,0,-2.26,3.97,-1.31,-6.35,13.52,0,0,0,0.1034,0
48,VVV,,,,45.783,14.716,6180719836,-1,-7,0.08455882,2.39,0,0,0,0,0.74,-0.41,-1.37,-1.82,-0.57,0.0147,0.0228,0.0199,0.0146,0.0083
49,WU,4,,1.95,21.844,9.64,7767732082,1,-16,0.20608004,2.33,0,0,0,0,0.86,0.45,-0.09,-0.69,-1.05,0.0491,0.0403,0.0289,0.0413,0.0338
50,EVFM,2,,-1.639325272,-7.919,-3.843,788562016,-6,-94,-6.82283035,2.26,0,0,0,0,-0.8,0.02,0.39,-1.07,1.17,0,0,0,0.0001,0
51,WYNN,5,,-7.08029,-41.883,-11.882,8980456562,-3,-28,-0.0391912,2.16,0,0,0,0,-2.01,-3.3,16.33,19.09,9.29,0.0002,0.0102,0.0419,0.0444,0.0183
52,TXMD,6,,-0.62549,-41.22,-22.383,3859079728,-2,-9,-1.54873985,2.14,0,0,0,0,-0.34,-0.45,0.04,0.43,0.63,0,0,0,0,0
53,FLXN,4,,-2.53,-31.248,-4.578,520583920,0,-38,-0.60939243,2.08,0,0,0,0,-0.39,-0.53,2.92,7.88,7.39,0,0,0,0,0
54,HALO,8,,2.835566571,23.479,11.483,4624203760,-2,29,0.61272523,2.03,0,0,0,0,1.39,1.11,0.64,1.73,1.53,0,0,0,0,0
55,TEUM,5,,-0.33,-4.833,-1.678,74919060,0,-96,-0.34240868,2.02,0,0,0,0,-0.11,-0.01,2.05,0.94,-1.39,0,0,0,0,0
56,WAT,7,,11.16,53.543,28.405,19680072360,-1,4,0.22088498,1.96,0,0,0,0,5.92,3.74,-3.2,20.36,27.99,0,0,0,0,0
57,CROX,6,,11.62,428.093,8.307,6028400640,-5,-10,0.14434383,1.79,0,0,0,0,0.23,4.31,1.87,2.2,5.1,0,0,0.0011,0.0108,0.0121
58,RRR,8,,3.5,60.742,12.566,3039124000,-4,-18,0.38854267,1.73,0,0,0,0,0.72,5,7.2,7.52,5.67,0,0.0044,0.0161,0.016,0.0118
59,AMR,,,,2.162,4.094,1182440217,0,71,0.25800207,1.73,0,0,0,0,29.89,10.94,37.01,97.67,9.07,0,0,0,0,0.1455
60,OPTN,,,,-5.745,-1.52,125074226,-10,27,-0.61735507,1.73,0,0,0,0,-0.38,0.14,1.47,2.98,14.05,0,0,0,0,0
61,BW,2,,0.26,9.617,17.993,557787070,-4,5,-0.10985121,1.61,0,0,0,0,0.7,-6.97,-9.41,-22.5,19.34,0.0164,0,0,0,0
62,CWH,,,,9.298,5.277,1469543918,-1,0,-0.02050077,1.59,0,0,0,0,3.51,0.68,-0.87,1.2,2.12,0.1775,0.1472,0.0392,0.0436,0.0186
63,FTNT,9,,0.726271694,58.908,75.887,46048511347,-2,-14,0.38920775,1.56,0,0,0,0,0.96,1.04,1.55,1.19,0.68,0,0,0,0,0
64,CDMO,7,,2.08,4.851,6.631,846634680,-3,-6,0.07914078,1.56,0,0,0,0,2.84,1.34,0.74,0.95,1.18,0,0.0036,0.0131,0.0208,0.0285
65,NEOS,,,,-13.141,-4.766,80552511,0,0,-0.11243486,1.56,0,0,0,0,-0.12,0.24,0.32,-0.1,10.34,0,0,0,0,0
66,AAPL,7,,5.67,39.348,26.22,2.48E+12,-2,4,0.30506113,1.53,0,0,0,0,3.78,3.77,4.9,5.41,6.42,0.0058,0.0071,0.0123,0.013,0.0147
67,WOW,,,,2.699,2,1540700645,-1,3,-0.04852735,1.46,0,0,0,0,7,-2.6,-3.05,-3.55,-2.59,0,0,0,0,0
68,AMGN,7,,10.06,20.041,22.786,1.34E+11,0,13,0.35324439,1.44,0,0,0,0,11.43,16.06,15.99,18.91,34.53,0.0299,0.0265,0.0256,0.0287,0.0241
69,KTB,,,,19.097,14.476,2828950312,-2,-12,0.10015784,1.44,0,0,0,0,2.58,1.49,1.22,0,0,0.0336,0.0263,0.0279,0,0
70,MA,8,,8.810344828,52.417,44.121,3.83E+11,-1,-4,0.47788162,1.43,0,0,0,0,7.3,6.38,5.79,5.18,5.12,0.0045,0.0051,0.0041,0.0049,0.0053
71,MA,8,,8.810344828,52.417,44.121,3.83E+11,-1,-4,0.47788162,1.43,0,0,0,0,7.3,6.38,5.79,5.18,5.12,0.0045,0.0051,0.0041,0.0049,0.0053
72,BHVN,,,,-10.137,-8.854,7495430802,0,10,-0.64682372,1.43,0,0,0,0,-12.59,-6.65,-0.15,3.85,4.74,0,0,0,0,0
73,HZN,,,,-6.172,-6.278,207923889,-3,-53,-0.05601016,1.41,0,0,0,0,-1.23,-0.72,0.49,-2.54,5.73,0,0,0,0,0
74,SHEN,8,,19.97,1.755,1.128,1127085780,1,11,-1.43133307,1.38,0,0,0,0,12.84,11.67,9.42,8.93,7.13,0.8342,0.0085,0.0067,0.0056,0.0074
75,KLXE,,,,2.821,-0.273,90545000,1,35,-0.07913547,1.38,0,0,0,0,4.94,70,84.75,0,0,0,0,0,0,0
76,BCRX,3,,-1.03,-24.895,-14.471,2663469772,-1,-20,-0.79217316,1.33,0,0,0,0,-0.6,-0.12,0.33,0.48,0.99,0,0,0,0,0
77,AXDX,8,,-1.38729,-4.52,-2.04,158508300,-49,-48,-3.76392653,1.32,0,0,0,0,-0.63,-1.12,-0.14,1.05,2.2,0,0,0,0,0
78,UIS,3,,-7.12674,-9.62,-2.439,1093758110,-3,-53,0.03358472,1.31,0,0,0,0,-1.81,-5.67,-22.61,-26.37,-26.87,0,0,0,0,0
79,RPD,9,,-2.614196189,-40.887,-35.204,5151533032,-4,-31,0.06812131,1.29,0,0,0,0,-2.25,1.4,1.71,1.88,0.56,0,0,0,0,0
80,CHDN,7,,6.29040404,26.033,32.063,7986924000,-1,-1,0.29687867,1.24,0,0,0,0,7.75,9.27,12.68,11.46,13.59,0.0031,0.0032,0.0038,0.0063,0.0053
81,ARCH,3,,22.04,2.537,5.14,1735069808,2,43,0.27035285,1.24,0,0,0,0,44.64,18.71,39.5,35.85,28.07,0.0022,0.0114,0.0344,0.0184,0.0114
82,MAR,7,,3.36,36.723,47.248,51926005596,-2,-7,0.1170729,1.19,0,0,0,0,4.34,1.32,2.11,6.69,9.94,0,0.0041,0.0128,0.0144,0.0087
83,SABR,7,,-2.96,-4.961,-2.719,2524637050,-4,-36,-0.03595607,1.19,0,0,0,0,-1.76,1.23,3.43,3.51,2.5,0.0086,0.0142,0.0257,0.0242,0.027
84,DXLG,7,,0.89,3.649,3.746,212452380,2,5,0.12708229,1.18,0,0,0,0,1.13,-0.08,1.17,1.19,1.43,0,0,0,0,0
85,NTAP,4,,4.2,19.439,17.385,16290150691,-2,-14,0.19167458,1.17,0,0,0,0,3.76,3.09,1.05,4.29,7.71,0.0274,0.0249,0.0427,0.0256,0.0119
86,CHH,8,,5.213289552,29.583,27.221,7865645775,-3,-17,0.35716555,1.17,0,0,0,0,4.8,-0.1,-0.42,-3.25,-3.75,0.0032,0.0045,0.0085,0.011,0.0105
87,AON,7,,5.41,59.053,49.924,62654740307,-1,5,0.15826297,1.16,0,0,0,0,4.58,15.07,14.15,16.93,17.73,0.0071,0.0087,0.0078,0.0101,0.0099
88,UROV,,,,-4.653,-1.839,269925631,0,0,0,1.16,0,0,0,0,-1.93,2.49,0,0,0,0,0,0,0,0
89,APAM,6,,6.05,8.38,6.878,2314628061,-4,-5,0.30667888,1.15,0,0,0,0,4.97,3.25,2.6,2.51,2.18,0.159,0.1073,0.1627,0.2204,0.1238
90,LPI,5,,9.203351104,2.12,7.511,1089212280,-3,9,0.43664783,1.15,0,0,0,0,32.61,-1.84,72.8,101.08,64.04,0,0,0,0,0
91,CDW,9,,7.14,37.288,26.617,26313977829,1,6,0.05236397,1.14,0,0,0,0,4.95,9.1,6.62,6.46,6.32,0.0089,0.0117,0.0094,0.0111,0.0092
92,CLX,7,,3.75,55.266,31.992,22714357225,0,0,0.11734909,1.13,0,0,0,0,3.27,7.22,4.38,5.62,4.2,0.0246,0.0183,0.0232,0.0259,0.0241
93,NTNX,,,,-7.485,-7.325,7575567750,-4,-27,0.00418537,1.13,0,0,0,0,-4.9,-1.41,1.03,1.99,0.38,0,0,0,0,0
94,APVO,,,,20.934,-0.895,25455579,-13,-38,-4.71763423,1.1,0,0,0,0,0.26,4.89,4.06,18.92,53.83,0,0,0,0,0
95,BNFT,7,,-0.971991088,-4.835,-11.471,368985777,-2,-21,0.04658314,1.06,0,0,0,0,-2.31,0.95,-0.79,-0.32,-1.27,0.0173,0.0092,0,0,0
96,ACHN,3,,-0.0014,-122.461,-139.492,6058990,0,-50,-4.969875,1.06,0,0,0,0,0,1.91,2.33,2.87,3.29,0,0,0,0,0
97,IDXX,9,,8.74,60.488,56.034,41736505100,0,-24,0.17461281,1.04,0,0,0,0,8.09,7.41,2.06,-0.11,-0.62,0,0,0,0,0
98,QCOM,5,,7.99,14.997,16.502,1.49E+11,-3,-11,0.20709048,1.02,0,0,0,0,8.8,5.35,4.06,0.63,20.82,0.0202,0.0202,0.03,0.0375,0.0406
99,KPTI,6,,-1.65,-8.062,-5.177,642361720,-1,-47,-0.36935302,1.02,0,0,0,0,-1.06,0.7,0.8,3.22,2.82,0,0,0,0,0
100,NINE,,,,-0.949,0,37272598,-3,193,-0.01907961,1.02,0,0,0,0,-1.3,0.69,13.3,24.37,12.39,0,0,0,0,0.0041
101,SLAB,7,,48.80486343,3.239,3.385,7166768150,-4,-8,-0.15058031,1.01,0,0,0,0,51,27.41,25.72,24.73,22.45,0,0,0,0,0
102,LPX,6,,2.031914894,5.835,5.233,7206119800,-4,-14,0.34630184,1,0,0,0,0,11.13,11.12,8.06,11.89,11.11,0.0092,0.0154,0.0171,0.0214,0
103,DOMO,,,,-11.141,-13.745,1403560120,-7,-31,0.01427507,1,0,0,0,0,-4.3,-2.85,-1.79,2.72,0,0,0,0,0,0
104,SELB,,,,11.981,0,269815963,2,16,-0.35702515,1,0,0,0,0,0.2,-0.18,0.18,-0.24,2.54,0,0,0,0,0
105,KLAC,8,,22.07,41.189,17.376,57720468760,-3,5,0.35961182,0.99,0,0,0,0,9.31,21.92,17,17.04,10.36,0.0111,0.0104,0.0168,0.0216,0.0242
106,DVA,7,,9.3,15.35,11.853,11597398300,4,-18,0.13823098,0.99,0,0,0,0,7.18,11.55,13.93,21.68,24.86,0,0,0,0,0
107,HOV,7,,87.5,3.433,0.988,600471370,-4,-45,0.04780227,0.99,0,0,0,0,27.82,-70.6,-82.18,-76.34,-77.92,0.0014,0,0,0,0
108,PRTY,6,,-0.06,5.521,-69.378,456646416,4,-51,-0.02811291,0.98,0,0,0,0,0.82,0.5,5.68,10.85,8.17,0,0,0,0,0
109,SYY,6,,1,31.774,86.119,43919890228,0,3,0.01704538,0.97,0,0,0,0,2.71,3.04,2.27,4.84,4.79,0.0218,0.0246,0.0311,0.0214,0.0207
110,BCO,6,,2.09,28.654,33.503,3524472015,-1,-15,0.09998631,0.97,0,0,0,0,2.44,2.56,3.83,3.09,6.29,0.0106,0.0088,0.0069,0.0083,0.0066
111,EVRI,6,,1.692921667,10.11,11.536,1764183960,-2,-8,0.4190371,0.97,0,0,0,0,1.93,-0.09,0.75,-1.57,-2.1,0,0,0,0,0
112,OAS,4,,16.15,2.57,8.306,2654701057,2,-11,0.51808205,0.96,0,0,0,0,52.19,45.82,181.81,186.73,15.92,0.0422,0,0,0,0
113,HDSN,6,,0.74,2.11,4.64,149677815,-2,137,0.1432478,0.96,0,0,0,0,1.62,0.95,1.06,1.63,2.96,0,0,0,0,0
114,ESPR,2,,-10.17221221,-0.547,-0.4,107672701,4,70,-3.20649903,0.94,0,0,0,0,-7.44,-3.5,0.74,2.96,10.22,0,0,0,0,0
115,DVAX,6,,0.62,5.709,16.549,1269487800,-2,-1,0.22694703,0.93,0,0,0,0,2.21,0.58,0.12,1.01,3.79,0,0,0,0,0
116,STRS,3,,6.97,1.765,4.864,279174000,0,-14,-1.9867569,0.93,0,0,0,0,19.26,12.05,14.8,15.21,15.67,0,0,0.0001,0.0002,0.0323
117,LNG,8,,-9.25,-11.124,-12.206,28598724152,-1,43,0.24825729,0.91,0,0,0,0,-10.15,-0.76,-0.05,-2.14,-7.57,0.003,0,0,0,0
118,THC,6,,8.7,7.423,8.349,7631076511,-1,-21,0.05937386,0.9,0,0,0,0,9.79,0.27,-3.59,-1.17,-1.46,0,0,0,0,0
119,ATKR,,,,5.091,7.489,4402167514,-3,-12,0.16437572,0.9,0,0,0,0,18.57,7.83,4.87,2.31,5.69,0,0,0,0,0
120,CLVS,6,,-2.182235165,-0.839,-0.884,233948798,-1,-20,-1.29057416,0.9,0,0,0,0,-2.3,-1.88,-3.23,2.81,7.81,0,0,0,0,0
121,JAKK,3,,-0.801280341,1.117,-10.521,63208140,1,68,0.06421229,0.9,0,0,0,0,7.54,3.23,1.13,21.96,43.83,0,0,0,0,0
122,MBI,4,,-8.980320707,-2.131,-1.499,666980634,0,-12,1.24528302,0.86,0,0,0,0,-6.32,2.3,10.2,12.57,11.88,0,0,0,0,0
123,CNR,8,,5.277934987,1.564,2.763,1839483300,0,12,0.0142528,0.85,0,0,0,0,9.37,3.52,7.45,4.98,4.32,0,0,0,0,0
124,ABBV,9,,6.54,15.8,21.092,2.43E+11,0,-3,0.39971054,0.84,0,0,0,0,8.73,7.41,-5.53,-5.71,3.2,0.038,0.0427,0.0526,0.0477,0.0223
125,MED,7,,14.0293363,11.073,13.668,2241941000,-4,-26,0.05762134,0.84,0,0,0,0,17.32,13.36,8.91,9.13,9.11,0.0285,0.0193,0.0306,0.0155,0.0184
126,HMHC,5,,1.672831914,6.553,10.138,2165359740,0,1,0.25472829,0.84,0,0,0,0,2.59,0.72,4.56,6.23,6.47,0,0,0,0,0
127,IAA,,,,18.697,21.186,6237196000,-2,6,0.14047002,0.83,0,0,0,0,2.47,0.52,-1.03,4.28,0,0,0,0.1979,0,0
128,RYI,5,,5.11,1.331,2.43,715157300,-3,25,0.05158166,0.83,0,0,0,0,13.96,3.65,4.58,1.96,-0.27,0.0089,0,0,0,0
129,SBH,5,,2.13,6.123,7.167,1719084780,-3,-10,0.05551359,0.82,0,0,0,0,2.49,0.14,-0.5,-2.18,-2.64,0,0,0,0,0
130,TVTY,6,,2.15,10.228,11.592,1216212700,0,26,0.20276384,0.82,0,0,0,0,2.44,0.08,4.88,9.21,6.91,0,0,0,0,0
131,JWN,7,,1.997455471,5.612,18.316,3260327969,-1,19,0.08182944,0.81,0,0,0,0,3.7,1.94,6.31,5.22,5.86,0,0.0097,0.0429,0.0329,0.0285
132,AGE,,,,-2.407,-3.295,28587004,3,0,-101.6617647,0.81,0,0,0,0,-0.32,-0.14,0.06,0.21,0,0,0,0,0,0
133,BXC,4,,30.46322395,1.859,2.281,675336448,-3,-8,0.0503518,0.8,0,0,0,0,38.53,6.27,-2.79,-1.59,3.87,0,0,0,0,0
134,CC,3,,3.682326114,4.947,8.795,5347218923,-1,28,0.11796943,0.79,0,0,0,0,6.56,4.94,4.18,5.73,4.65,0.0307,0.0378,0.0688,0.0231,0.0023
135,MATX,8,,21.67,2.535,4.559,4227678841,-3,-20,0.30143541,0.79,0,0,0,0,38.69,22.3,18.82,17.69,15.81,0.0109,0.0152,0.0235,0.0247,0.0224
136,CNS,9,,4.42251046,15.502,18.713,3955773899,0,-4,0.16916138,0.79,0,0,0,0,5.27,3.65,4.52,4.76,5.94,0.0373,0.0391,0.0457,0.1028,0.0522
137,RAIL,3,,-2,-41.508,-1.658,68736777,-3,21,-0.04829397,0.79,0,0,0,0,-0.08,2.27,9.49,15.72,18.86,0,0,0,0,0.0172
138,MGY,,,,4.422,8.655,3611384234,-2,18,0.74231846,0.78,0,0,0,0,4.91,3.3,10.97,10.85,7.75,0.0039,0,0,0,0
139,PFSW,4,,8.04,1.111,1.449,233058242,0,-7,0.0124587,0.78,0,0,0,0,10.49,2.62,2.41,2.43,2.18,0,0,0,0,0
140,WSM,9,,0.000189164,6.811,10.063,11334815118,-2,23,0.15698187,0.76,0,0,0,0,21.54,21.37,15.82,14.19,14.38,0.0165,0.015,0.0309,0.0295,0.0314
141,NRG,4,,8.926530612,2.715,4.47,9775500368,-1,15,0.1146256,0.76,0,0,0,0,14.69,6.86,6.33,-4.06,-1.09,0.0326,0.0291,0.0033,0.003,0.0046
142,UPS,9,,14.87,12.059,13.335,1.72E+11,0,0,0.14831317,0.75,0,0,0,0,16.44,0.76,3.78,3.49,1.15,0.02,0.0251,0.0342,0.0344,0.0248
143,ITW,5,,8.501104449,20.113,27.063,72908550000,-1,-1,0.14599934,0.75,0,0,0,0,11.52,10.04,9.34,9.71,13.32,0.0201,0.0224,0.0229,0.0247,0.0156
144,LRCX,8,,32.92,9.965,13.586,62567029770,-5,-15,0.17993075,0.75,0,0,0,0,44.88,41.97,35.79,30.98,40.71,0.013,0.0081,0.013,0.0211,0.011
145,ENDP,4,,-2.63,-0.576,-1.26,716977777,-1,-87,0.12588325,0.75,0,0,0,0,-5.34,-2.83,-3.83,-2.22,2.17,0,0,0,0,0
146,SRTS,,,,4.649,29.365,120954823,0,28,0.15205087,0.75,0,0,0,0,1.58,1.31,1.72,1.87,0.88,0,0,0,0,0
147,SHW,9,,7.1,30.987,40.507,75521253203,-2,-7,0.08099212,0.73,0,0,0,0,9.28,13.31,14.97,13.37,13.25,0.0078,0.0078,0.0081,0.0086,0.0081
148,GBL,4,,2.79,6.161,7.902,578399353,-1,-3,0.22941257,0.73,0,0,0,0,3.57,3.27,2,0.33,-3.32,0,0.0547,0.0058,0.0042,0.0027
149,RCMT,5,,0.95,3.049,7.206,79184157,4,159,0.05826772,0.73,0,0,0,0,2.25,1.93,2.49,2.2,1.81,0,0,0,0,0.1575
150,USWS,,,,-0.86,-1.388,111070170,-1,18,0.06162575,0.72,0,0,0,0,-6.97,-1.62,12.26,13.7,118.71,0,0,0,0,0
151,MAT,3,,0.361356528,4.629,8.043,7262750000,0,0,0.05165581,0.71,0,0,0,0,4.51,1.72,1.42,1.94,3.66,0,0,0,0,0.0568
152,MCO,9,,11.88,23.002,28.331,62725465827,-3,-4,0.25067024,0.7,0,0,0,0,14.63,8.36,3.23,2.4,-1.71,0.0074,0.0084,0.0076,0.0112,0.0094
153,POOL,9,,16.2246328,17.207,28.335,18435231768,-3,-12,0.02620129,0.7,0,0,0,0,26.72,15.94,10.3,5.55,5.46,0.0065,0.0065,0.0094,0.0114,0.0105
154,CF,4,,4.423434391,4.597,16.073,14739384123,1,40,0.43773994,0.7,0,0,0,0,15.47,13.6,13.16,12.72,15.33,0.0176,0.029,0.0296,0.028,0.0286
155,BJ,,,,13.133,19.95,8511717671,0,17,0.03440851,0.7,0,0,0,0,4.79,2.35,-0.4,-1.73,0,0,0,0,0,0
156,RH,9,,35.01,6.754,11.48,7904371289,-4,-20,0.12223084,0.7,0,0,0,0,59.5,22.73,0.98,-1.06,-0.27,0,0,0,0,0
157,MUSA,3,,15.36134063,6.144,12.495,4959106230,0,64,0.03306905,0.69,0,0,0,0,31.31,26.92,25.42,24.71,20.62,0.0055,0.0019,0,0,0
158,MC,8,,5.79,6.37,8.53,3115125123,-3,-4,0.33563925,0.69,0,0,0,0,8.65,8.48,8.79,9.36,10.62,0.1541,0.1006,0.1139,0.1651,0.164
159,ETSY,9,,3.88,29.539,37.626,18568484561,-7,-12,0.23475322,0.68,0,0,0,0,4.94,6.12,3.4,3.34,3.35,0,0,0,0,0
